filepath,song,artist,album
2008/01/01/1199167200122_84410.wav,The Man Comes Around,Johnny Cash,American IV: Man Comes Around
2008/01/01/1199167200123_92139.wav,California Dreamin' (Remastered 2005),The Beach Boys,The Warmth of the Sun
2008/01/01/1199167200124_45288.wav,Sharp Dressed Man,ZZ Top,Eliminator
2008/01/01/1199167200124_47864.wav,Like You'll Never See Me Again,Alicia Keys,As I Am
2008/01/01/1199167200125_12444.wav,Hustler Musik,Lil Wayne,Tha Carter II
2008/01/01/1199167200126_29028.wav,Hallelujah,Leonard Cohen,The Essential Leonard Cohen
2008/01/01/1199167200126_46738.wav,Don't Blink,Kenny Chesney,Just Who I Am: Poets & Pirates
2008/01/01/1199167200128_25325.wav,"Bounce (feat. Missy Elliot, Justin Timberlake & Dr. Dre)",Timbaland,Shock Value
2008/01/01/1199167200128_36757.wav,Drive,Ziggy Marley,50 First Dates (Love Songs from the Original Motion Picture)
2008/01/01/1199167200128_57043.wav,With My Own Two Hands,Ben Harper,Diamonds On the Inside
2008/01/01/1199167200128_68474.wav,Down In a Hole,Ryan Adams & The Cardinals,Follow the Lights - EP
2008/01/01/1199167200128_88760.wav,Two More Bottles of Wine,Emmylou Harris,Quarter Moon in a Ten Cent Town
2008/01/01/1199167200129_33054.wav,Tiny Dancer,Elton John,"Elton John's Greatest Hits, Vol. 2"
2008/01/01/1199167200129_53341.wav,"Whenever, Wherever",Shakira,Laundry Service
2008/01/01/1199167200129_82482.wav,I Shot the Sheriff,Bob Marley,Burnin'
2008/01/01/1199167200130_35631.wav,Click Click Boom,Saliva,Every Six Seconds
2008/01/01/1199167200130_99066.wav,She's My Kind of Rain,Tim McGraw,"Tim McGraw: Greatest Hits, Vol. 2"
2008/01/01/1199167200131_40783.wav,Danger Zone,Kenny Loggins,The Essential Kenny Loggins
2008/01/01/1199167200132_37081.wav,Why,Jason Aldean,Jason Aldean (Deluxe Version)
2008/01/01/1199167200132_48512.wav,Pancho and Lefty,Emmylou Harris,Luxury Liner
2008/01/01/1199167200132_68798.wav,I Don't Care,Apocalyptica,Worlds Collide
2008/01/01/1199167200133_21947.wav,Surrender,Cheap Trick,Heaven Tonight (Remastered)
2008/01/01/1199167200133_44810.wav,Another One Bites the Dust,Queen,The Game
2008/01/01/1199167200133_51088.wav,Hair Braider,R. Kelly,Hair Braider - Single
2008/01/01/1199167200134_20821.wav,Kingston Town,UB40,The Very Best of UB40: 1980 - 2000
2008/01/01/1199167200134_47386.wav,When You Were Young,The Killers,Sam's Town
2008/01/01/1199167200134_49962.wav,Animals,Nickelback,All the Right Reasons
2008/01/01/1199167200134_67672.wav,Underneath,Alanis Morissette,Underneath - Single
2008/01/01/1199167200134_99390.wav,Born In the U.S.A.,Bruce Springsteen,Born In the U.S.A.
2008/01/01/1199167200135_52539.wav,Hero Takes a Fall,The Bangles,All Over the Place
2008/01/01/1199167200135_72825.wav,Policy of Truth (UK Single Version),Depeche Mode,Policy of Truth - EP
2008/01/01/1199167200135_84256.wav,Move Along,The All-American Rejects,Move Along
2008/01/01/1199167200136_60267.wav,When You Were Young,The Killers,Sam's Town
2008/01/01/1199167200136_77977.wav,Southern Cross,"Crosby, Stills & Nash",Daylight Again
2008/01/01/1199167200137_74275.wav,Inside the Fire,Disturbed,Indestructible
2008/01/01/1199167200137_91985.wav,Magic Carpet Ride,Steppenwolf,Steppenwolf the Second
2008/01/01/1199167200138_41431.wav,"Red, Red Wine",UB40,Labour of Love
2008/01/01/1199167200139_12290.wav,Daughter,Pearl Jam,Vs.
2008/01/01/1199167200139_96011.wav,Lively Up Yourself,Bob Marley,Natty Dread
2008/01/01/1199167200140_80878.wav,It's Gonna Be Me,*NSYNC,No Strings Attached
2008/01/01/1199167200140_98588.wav,Long Haired Country Boy,The Charlie Daniels Band,The Essential Charlie Daniels Band
2008/01/01/1199167200141_16317.wav,Shimmer,Fuel,The Best of Fuel
2008/01/01/1199167200141_42882.wav,It's Not My Time,3 Doors Down,3 Doors Down (Bonus Track Version)
2008/01/01/1199167200142_18893.wav,Creep,Stone Temple Pilots,Thank You
2008/01/01/1199167200142_30324.wav,Black Hole Sun,Soundgarden,Superunknown
2008/01/01/1199167200142_48034.wav,School Song,James Taylor,One Man Band (Live)
2008/01/01/1199167200142_91183.wav,I Know,Jay-Z,American Gangster
2008/01/01/1199167200143_15191.wav,Gone Away,The Offspring,Ixnay on the Hombre
2008/01/01/1199167200143_46908.wav,There's Nothin' (feat. The DEY & Juelz Santana),Sean Kingston,Sean Kingston
2008/01/01/1199167200144_81202.wav,Daughter,Pearl Jam,Vs.
2008/01/01/1199167200145_14064.wav,When You Say Nothing at All,Alison Krauss & Union Station,Alison Krauss & Union Station: Live
2008/01/01/1199167200145_57213.wav,You Give Love a Bad Name,Bon Jovi,Cross Road
2008/01/01/1199167200145_86354.wav,Flake,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200145_97786.wav,Vasoline (Live from Chicago) [Bonus Track],Stone Temple Pilots,Stone Temple Pilots (Deluxe Version)
2008/01/01/1199167200147_26946.wav,Caring Is Creepy,The Shins,"Oh, Inverted World"
2008/01/01/1199167200148_29522.wav,Hopelessly Devoted to You,Olivia Newton-John,Back to Basics: The Essential Collection 1971-1992
2008/01/01/1199167200149_34675.wav,Smells Like Teen Spirit,Nirvana,Nevermind
2008/01/01/1199167200149_66392.wav,Buddy Holly,Weezer,Weezer
2008/01/01/1199167200150_60114.wav,Party People,Nelly,Brass Knuckles
2008/01/01/1199167200151_24694.wav,Beautiful Day,U2,The Best of 1990-2000
2008/01/01/1199167200151_56411.wav,I Saw God Today,George Strait,Troubadour
2008/01/01/1199167200151_76697.wav,Love Stinks,The J. Geils Band,Love Stinks
2008/01/01/1199167200151_79274.wav,This Is a Call,Foo Fighters,Foo Fighters
2008/01/01/1199167200152_12136.wav,Tonight I Wanna Cry,Keith Urban,Be Here
2008/01/01/1199167200152_41278.wav,Savin' Me,Nickelback,All the Right Reasons
2008/01/01/1199167200152_72995.wav,Tonight I Wanna Cry,Keith Urban,Be Here
2008/01/01/1199167200152_81850.wav,My Sharona,The Knack,Get the Knack
2008/01/01/1199167200153_26144.wav,Interstate Love Song,Stone Temple Pilots,Thank You
2008/01/01/1199167200154_45304.wav,Have I Told You Lately That I Love You,Van Morrison,Still On Top - The Greatest Hits
2008/01/01/1199167200154_63014.wav,Mr. Tambourine Man,The Byrds,Mr. Tambourine Man
2008/01/01/1199167200154_83300.wav,Hurt,Johnny Cash,American IV: Man Comes Around
2008/01/01/1199167200155_65590.wav,Suspicious Minds,Elvis Presley,Suspicious Minds
2008/01/01/1199167200156_21315.wav,Smells Like Teen Spirit,Nirvana,Nevermind
2008/01/01/1199167200156_44178.wav,True to Myself,Ziggy Marley,Dragonfly
2008/01/01/1199167200156_84750.wav,Angel Flying Too Close to the Ground,Willie Nelson,The Essential Willie Nelson
2008/01/01/1199167200156_93605.wav,Guess Who's Coming to Dinner,Black Uhuru,Guess Who's Coming to Dinner
2008/01/01/1199167200157_81048.wav,How Far We've Come,Matchbox Twenty,Exile On Mainstream
2008/01/01/1199167200158_51907.wav,I Love a Rainy Night,Eddie Rabbitt,Horizon
2008/01/01/1199167200158_86201.wav,Over,Evans Blue,The Melody and the Energetic Nature of Volume
2008/01/01/1199167200159_10208.wav,Touch Me,Rui Da Silva,Kismet Records - Touch Me (Double 99 Club Mix) - Single
2008/01/01/1199167200159_19063.wav,Piano Man,Billy Joel,Piano Man
2008/01/01/1199167200159_48204.wav,Hopelessly Devoted to You,Olivia Newton-John,Back to Basics: The Essential Collection 1971-1992
2008/01/01/1199167200159_57059.wav,Take You There,Sean Kingston,Sean Kingston - Deluxe
2008/01/01/1199167200159_59636.wav,The Fightin' Side of Me,Merle Haggard & The Strangers,Hag - The Best of Merle Haggard
2008/01/01/1199167200159_77346.wav,The Way You Do the Things You Do,UB40,The Very Best of UB40: 1980 - 2000
2008/01/01/1199167200159_97632.wav,Spitting Games,Snow Patrol,Final Straw
2008/01/01/1199167200160_15361.wav,Heat of the Moment,Asia,Asia
2008/01/01/1199167200160_21640.wav,Pop Bottles (feat. Lil Wayne),Birdman,5 * Stunna
2008/01/01/1199167200161_38223.wav,In My Place,Coldplay,A Rush of Blood to the Head
2008/01/01/1199167200161_47078.wav,My Ever Changing Moods,The Style Council,The Singular Adventures of the Style Council
2008/01/01/1199167200161_87651.wav,This Old Road,Kris Kristofferson,This Old Road
2008/01/01/1199167200161_99082.wav,Here I Am (Come and Take Me),UB40,UB40: Greatest Hits
2008/01/01/1199167200162_66239.wav,You Really Got Me,Van Halen,Van Halen
2008/01/01/1199167200163_28242.wav,Stir It Up,Bob Marley,Legend (Deluxe Edition)
2008/01/01/1199167200163_51105.wav,Los Pollitos Dicen,Jose Gonzalez & Banda Criolla,Caribbean Fiesta for Kids
2008/01/01/1199167200163_89101.wav,Bye Bye Bye,*NSYNC,No Strings Attached
2008/01/01/1199167200163_97956.wav,Soulja Girl,Soulja Boy Tell 'Em,Souljaboytellem.com
2008/01/01/1199167200165_70265.wav,Waiting In Vain,Bob Marley & The Wailers,Legend (Deluxe Edition)
2008/01/01/1199167200166_46276.wav,Daddy Sang Bass,Johnny Cash,The Essential Johnny Cash
2008/01/01/1199167200166_93128.wav,Clocks,Coldplay,A Rush of Blood to the Head
2008/01/01/1199167200166_95704.wav,Little Too Late,Pat Benatar,Get Nervous
2008/01/01/1199167200167_39998.wav,Rose Colored Glasses,John Conlee,Rose Colored Glasses
2008/01/01/1199167200167_71715.wav,Bringin' On the Heartbreak,Phil Lewis with Randy Castillo,Metal Madness
2008/01/01/1199167200168_13433.wav,We Believe In Happy Endings,Emmylou Harris,Duets
2008/01/01/1199167200168_76868.wav,Time Bomb,Old 97's,Alive & Wired
2008/01/01/1199167200168_85723.wav,Silent Night,Sinéad O'Connor,Alternative Rock X-Mas
2008/01/01/1199167200169_90875.wav,Riot,Three Days Grace,One X
2008/01/01/1199167200170_23738.wav,Nowhere Road,Steve Earle & The Dukes,Fearless Heart
2008/01/01/1199167200170_66887.wav,Like You'll Never See Me Again,Alicia Keys,As I Am
2008/01/01/1199167200170_84597.wav,I Got You Babe,Sonny & Cher,Look At Us
2008/01/01/1199167200170_87173.wav,Welcome Home,Coheed and Cambria,"Good Apollo I'm Burning Star IV, Vol. 1 - From Fear Through the Eyes of Madness"
2008/01/01/1199167200171_42898.wav,Just Got Started Lovin' You,James Otto,Sunset Man
2008/01/01/1199167200171_60608.wav,Your Song,Elton John,Elton John
2008/01/01/1199167200171_72039.wav,Let It Ride,Ryan Adams & The Cardinals,Cold Roses
2008/01/01/1199167200171_89749.wav,Rose of Cimarron,Emmylou Harris,Songs of the West
2008/01/01/1199167200172_48051.wav,Bad Day,Daniel Powter,Daniel Powter
2008/01/01/1199167200172_65761.wav,Breath,Breaking Benjamin,Phobia
2008/01/01/1199167200173_10054.wav,The Good Life,Weezer,Pinkerton
2008/01/01/1199167200173_32917.wav,Beep,The Pussycat Dolls,PCD
2008/01/01/1199167200173_50627.wav,The Rescue Blues,Ryan Adams,Gold
2008/01/01/1199167200174_38070.wav,Day After Day,Badfinger,Straight Up (Remastered)
2008/01/01/1199167200174_49501.wav,Hate That I Love You (feat. Ne-Yo),Rihanna,Good Girl Gone Bad: Reloaded
2008/01/01/1199167200174_55780.wav,Feel Good Inc,Gorillaz,Demon Days
2008/01/01/1199167200174_67211.wav,Summer of '69,Bryan Adams,Reckless
2008/01/01/1199167200175_40646.wav,Boulder to Birmingham,Emmylou Harris & Mark Knopfler,Real Live Roadrunning
2008/01/01/1199167200175_83795.wav,Shine,Collective Soul,"Hints, Allegations & Things Left Unsaid"
2008/01/01/1199167200176_45798.wav,Oh Lately It's So Quiet,OK Go,Oh No
2008/01/01/1199167200176_95226.wav,Rockin' the Suburbs,Ben Folds,Rockin' the Suburbs
2008/01/01/1199167200177_71237.wav,Bottle Let Me Down,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200179_11829.wav,Electric Boogie,Marcia Griffiths,Carousel
2008/01/01/1199167200179_34691.wav,I Don't Care,Apocalyptica,Worlds Collide
2008/01/01/1199167200179_84119.wav,Dream a Little Dream of Me (With Introduction),The Mamas & The Papas,The Mamas & The Papas Greatest Hits
2008/01/01/1199167200180_19558.wav,Insensitive,Jann Arden,Insensitive
2008/01/01/1199167200180_80416.wav,Float On,Modest Mouse,Good News for People Who Love Bad News
2008/01/01/1199167200180_98126.wav,The Logical Song,Supertramp,Breakfast in America
2008/01/01/1199167200181_53851.wav,Used to Love Her,Guns N' Roses,G N' R Lies
2008/01/01/1199167200182_29863.wav,"Take Me Home, Country Roads",John Denver,John Denver's Greatest Hits
2008/01/01/1199167200182_41294.wav,The Devil Went Down to Georgia,The Charlie Daniels Band,The Essential Charlie Daniels Band
2008/01/01/1199167200182_79290.wav,Slither,Velvet Revolver,Contraband
2008/01/01/1199167200183_12153.wav,Don't Know Why,Norah Jones,Come Away With Me
2008/01/01/1199167200183_43870.wav,You and Me,Lifehouse,Lifehouse
2008/01/01/1199167200183_55302.wav,Veronica,Elvis Costello,Spike
2008/01/01/1199167200183_95874.wav,Seether,Veruca Salt,American Thighs
2008/01/01/1199167200184_31313.wav,Passenger Side,Wilco,A.M.
2008/01/01/1199167200184_40168.wav,I Want It That Way,Backstreet Boys,Millennium
2008/01/01/1199167200184_57878.wav,Jammin',Bob Marley,Exodus
2008/01/01/1199167200184_66733.wav,Equal Rights,Peter Tosh,Equal Rights
2008/01/01/1199167200184_89595.wav,Close to You,Maxi Priest,Best of Me
2008/01/01/1199167200184_98450.wav,Layla,Eric Clapton,461 Ocean Blvd. (Deluxe Edition)
2008/01/01/1199167200185_83317.wav,I Hope You Dance,Lee Ann Womack,I Hope You Dance
2008/01/01/1199167200186_21332.wav,Time to Say Goodbye (Con Te Partiro),Sarah Brightman & Andrea Bocelli,Sarah Brightman - Time to Say Goodbye
2008/01/01/1199167200186_82191.wav,No Rain,Blind Melon,Blind Melon
2008/01/01/1199167200187_12477.wav,The Beautiful People,Marilyn Manson,The Last Tour On Earth
2008/01/01/1199167200187_23908.wav,The Beautiful People,Marilyn Manson,The Last Tour On Earth
2008/01/01/1199167200187_32763.wav,Heart Shaped Box,Nirvana,In Utero
2008/01/01/1199167200187_35339.wav,Comfortably Numb,Pink Floyd,The Wall (Remastered)
2008/01/01/1199167200187_53049.wav,Rock You Like a Hurricane,Scorpions,Love at First Sting
2008/01/01/1199167200187_87343.wav,Soul Survivor,Young Jeezy & Akon,Let's Get It: Thug Motivation 101
2008/01/01/1199167200187_96198.wav,Feelin' Good Again,Robert Earl Keen,Walking Distance
2008/01/01/1199167200188_20206.wav,Take You There,Sean Kingston,Sean Kingston - Deluxe
2008/01/01/1199167200188_51923.wav,The Way,Fastball,All the Pain Money Can Buy
2008/01/01/1199167200188_98775.wav,What I Like About You,The Romantics,The Romantics
2008/01/01/1199167200189_34213.wav,Seether,Veruca Salt,American Thighs
2008/01/01/1199167200189_36790.wav,Yellow Ledbetter,Pearl Jam,Lost Dogs
2008/01/01/1199167200189_54500.wav,Tight Fittin' Jeans,Conway Twitty,Conway Twitty: The #1 Hits Collection
2008/01/01/1199167200189_86217.wav,Hanging By a Moment,Lifehouse,No Name Face
2008/01/01/1199167200190_21656.wav,So Far Away,Staind,14 Shades of Grey
2008/01/01/1199167200190_48221.wav,I Don't Believe In Love,Queensrÿche,Queensrÿche: Greatest Hits
2008/01/01/1199167200191_44519.wav,The Last Night,Skillet,Comatose
2008/01/01/1199167200191_93946.wav,Mighty Wings,Cheap Trick,Top Gun (Original Motion Picture Soundtrack) [Special Expanded Edition]
2008/01/01/1199167200191_96522.wav,Beautiful Girls,Sean Kingston,Sean Kingston
2008/01/01/1199167200192_11675.wav,Owner of a Lonely Heart,Yes,90125 (Expanded Edition)
2008/01/01/1199167200192_20530.wav,Queen of the Silver Dollar,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200192_23106.wav,Before Believing,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200192_29385.wav,Jerusalem (Out of Darkness Comes Light),Matisyahu,Jerusalem (Out of Darkness Comes Light) - Single
2008/01/01/1199167200192_58526.wav,Hope,Shaggy,Hot Shot
2008/01/01/1199167200194_82839.wav,Welcome to the Black Parade,My Chemical Romance,The Black Parade
2008/01/01/1199167200195_24556.wav,Bad Company,Bad Company,Bad Company
2008/01/01/1199167200195_67705.wav,Click Click Boom,Saliva,Every Six Seconds
2008/01/01/1199167200195_79136.wav,Kissing the Lipless,The Shins,Chutes Too Narrow
2008/01/01/1199167200198_13449.wav,Better Man,Pearl Jam,Vitalogy
2008/01/01/1199167200198_31159.wav,Nowhere Road,Steve Earle & The Dukes,Fearless Heart
2008/01/01/1199167200199_16026.wav,It's Been Awhile,Staind,Break the Cycle
2008/01/01/1199167200199_47743.wav,Tempted (94),Squeeze,Reality Bites (Original Motion Picture Soundtrack)
2008/01/01/1199167200199_76884.wav,What Do I Get?,Buzzcocks,Operators Manual
2008/01/01/1199167200200_23754.wav,What I Like About You,The Romantics,The Romantics
2008/01/01/1199167200200_52896.wav,Little Too Late,Pat Benatar,Get Nervous
2008/01/01/1199167200200_64327.wav,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",The Christmas Song
2008/01/01/1199167200201_69479.wav,Animals,Nickelback,All the Right Reasons
2008/01/01/1199167200201_87189.wav,He Stopped Loving Her Today,George Jones,I Am What I Am
2008/01/01/1199167200202_94918.wav,Love Sick,Bob Dylan,Time Out of Mind
2008/01/01/1199167200203_50643.wav,Like I Love You,Justin Timberlake featuring Clipse,Justified
2008/01/01/1199167200204_12647.wav,Guitar Town,Steve Earle,Guitar Town
2008/01/01/1199167200204_24078.wav,Brain Stew,Green Day,Insomniac
2008/01/01/1199167200205_17800.wav,Tulsa Time,Don Williams,Don Williams: 20 Greatest Hits
2008/01/01/1199167200205_96369.wav,The Fightin' Side of Me,Merle Haggard & The Strangers,Hag - The Best of Merle Haggard
2008/01/01/1199167200206_11521.wav,Shimmer,Fuel,The Best of Fuel
2008/01/01/1199167200206_66101.wav,Don't Know Why,Norah Jones,Come Away With Me
2008/01/01/1199167200207_50968.wav,Inaudible Melodies,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200207_59822.wav,Girlfriend,Matthew Sweet,Girlfriend
2008/01/01/1199167200207_77532.wav,Cocody Rock,Alpha Blondy,Cocody Rock
2008/01/01/1199167200208_12971.wav,Do You Remember These,Statler Brothers,The Best of the Statler Brothers
2008/01/01/1199167200208_33258.wav,Little Moments,Brad Paisley,Mud On the Tires
2008/01/01/1199167200208_56120.wav,Folsom Prison Blues,Johnny Cash,With His Hot and Blue Guitar
2008/01/01/1199167200208_76406.wav,All Apologies,Nirvana,In Utero
2008/01/01/1199167200208_94116.wav,House of the Rising Sun,The Animals,The Best of The Animals
2008/01/01/1199167200208_96693.wav,Pancho and Lefty,Merle Haggard & Willie Nelson,Pancho & Lefty
2008/01/01/1199167200210_66425.wav,Move Along,The All-American Rejects,Move Along
2008/01/01/1199167200212_13295.wav,Only,Nine Inch Nails,With Teeth
2008/01/01/1199167200212_27303.wav,Through the Fire and Flames,DragonForce,Inhuman Rampage
2008/01/01/1199167200212_76730.wav,It's Not Over,Daughtry,Daughtry
2008/01/01/1199167200212_94440.wav,The Kill,30 Seconds to Mars,A Beautiful Lie
2008/01/01/1199167200213_67875.wav,If You Could Only See,Tonic,Lemon Parade
2008/01/01/1199167200213_70452.wav,My Friends Over You,New Found Glory,Sticks and Stones
2008/01/01/1199167200213_90738.wav,Late Night Grande Hotel,Nanci Griffith,Ruby's Torch
2008/01/01/1199167200214_17322.wav,This Is a Call,Foo Fighters,Foo Fighters
2008/01/01/1199167200214_43887.wav,Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys
2008/01/01/1199167200215_42761.wav,Closing Time,Semisonic,Feeling Strangely Fine
2008/01/01/1199167200215_60471.wav,Barracuda,Heart,Little Queen
2008/01/01/1199167200215_63047.wav,Far Away,Nickelback,All the Right Reasons
2008/01/01/1199167200215_69326.wav,Beast of Burden,The Rolling Stones,Some Girls (Remastered)
2008/01/01/1199167200215_98467.wav,Where Is My Mind?,Pixies,Surfer Rosa
2008/01/01/1199167200216_13619.wav,The Diary of Jane,Breaking Benjamin,Phobia
2008/01/01/1199167200216_33906.wav,Scars,Papa Roach,Getting Away With Murder
2008/01/01/1199167200217_70776.wav,Hey Ya!,OutKast,Speakerboxxx / The Love Below
2008/01/01/1199167200217_99917.wav,Hate That I Love You (feat. Ne-Yo),Rihanna,Good Girl Gone Bad: Reloaded
2008/01/01/1199167200218_46787.wav,Go Your Own Way,Fleetwood Mac,Rumours
2008/01/01/1199167200218_55642.wav,Santa Monica,Everclear,Sparkle and Fade
2008/01/01/1199167200219_49364.wav,I'll Never Break Your Heart,Backstreet Boys,Backstreet Boys
2008/01/01/1199167200219_81081.wav,Maggie May,Rod Stewart,Every Picture Tells a Story
2008/01/01/1199167200219_83657.wav,Ring of Fire,"Johnny Cash, June Carter & Merle Kilgore",Ring of Fire - The Best of Johnny Cash
2008/01/01/1199167200220_88810.wav,Caught Up in You,38 Special,Special Forces
2008/01/01/1199167200221_41959.wav,Cyclone,Baby Bash,Cyclone
2008/01/01/1199167200222_26825.wav,She Hates Me,Puddle of Mudd,Come Clean
2008/01/01/1199167200222_29401.wav,Trouble,Coldplay,Parachutes
2008/01/01/1199167200222_35680.wav,Beat It,Michael Jackson,The Essential Michael Jackson
2008/01/01/1199167200222_78829.wav,Rooftops (A Liberation Broadcast),Lostprophets,Liberation Transmission
2008/01/01/1199167200222_85108.wav,Crazy,Patsy Cline,Patsy Cline's Greatest Hits
2008/01/01/1199167200223_34554.wav,(There's) No Gettin' Over Me,Ronnie Milsap,The Essential Ronnie Milsap
2008/01/01/1199167200223_72550.wav,Your House,Steel Pulse,True Democracy
2008/01/01/1199167200223_81405.wav,Don’t Rock My Boat,Bob Marley,The Complete Best Of
2008/01/01/1199167200224_19420.wav,One Love / People Get Ready,Bob Marley & The Wailers,Legend (Deluxe Edition)
2008/01/01/1199167200224_97989.wav,Beautiful Liar,Beyoncé & Shakira,B'Day (Deluxe Edition)
2008/01/01/1199167200225_33428.wav,Stand By Me,John Lennon,Rock 'n' Roll (Remastered)
2008/01/01/1199167200226_50012.wav,Interstate Love Song,Stone Temple Pilots,Thank You
2008/01/01/1199167200226_56290.wav,Time Stands Still,The All-American Rejects,The All-American Rejects
2008/01/01/1199167200226_67722.wav,Hallelujah,Jeff Buckley,Grace
2008/01/01/1199167200227_23447.wav,Can't Help But Wait,Trey Songz,Trey Day
2008/01/01/1199167200227_55164.wav,Island In the Sun,Weezer,Weezer (Green Album)
2008/01/01/1199167200227_72874.wav,Summer In the City,The Lovin' Spoonful,Hums of The Lovin' Spoonful
2008/01/01/1199167200228_19744.wav,Evening Falls..,Enya,Watermark
2008/01/01/1199167200228_60317.wav,Pop Bottles (feat. Lil Wayne),Birdman,5 * Stunna
